NOP: 45
NINT: 14
0 292 1
292 505 2
505 727 3
727 755 4
755 1000 5
1000 1204 6
1204 1254 7
1254 1454 8
1454 1737 7
1737 1788 6
1788 1795 5
1795 1837 4
1837 2013 3
2013 300000 2
1 89 89
2 37 42
3 34 47
4 34 61
5 89 96
6 86 134
7 97 128
8 29 200
9 85 122
10 20 37
11 4 55
12 26 65
13 44 270
14 100 118
15 28 165
16 42 182
17 30 247
18 78 97
19 96 188
20 74 442
21 96 219
22 26 94
23 76 320
24 64 445
25 38 652
26 96 672
27 61 538
28 95 134
29 17 371
30 53 824
31 26 442
32 62 632
33 88 340
34 67 343
35 37 974
36 99 992
37 71 815
38 77 641
39 4 373
40 36 928
41 93 757
42 21 652
43 68 428
44 75 1045
45 71 477
