NOP: 45
NINT: 13
0 13 2
13 206 3
206 408 4
408 552 5
552 683 6
683 806 7
806 1020 8
1020 1108 7
1108 1181 6
1181 1344 5
1344 1519 4
1519 1752 3
1752 300000 2
1 79 80
2 61 62
3 9 34
4 75 76
5 60 101
6 3 134
7 18 124
8 68 93
9 32 146
10 82 89
11 14 107
12 99 199
13 34 210
14 49 237
15 87 212
16 90 283
17 93 160
18 59 390
19 84 340
20 92 352
21 65 74
22 13 421
23 62 360
24 17 32
25 26 38
26 41 640
27 31 657
28 45 658
29 93 591
30 12 616
31 45 732
32 98 581
33 21 461
34 96 257
35 78 915
36 5 503
37 30 301
38 8 959
39 16 166
40 50 564
41 45 1005
42 10 320
43 76 323
44 61 825
45 91 939
