NOP: 60
NINT: 18
0 17 1
17 180 2
180 432 3
432 561 4
561 712 5
712 846 6
846 928 7
928 1187 8
1187 1399 9
1399 1444 10
1444 1446 9
1446 1566 8
1566 1864 7
1864 1966 6
1966 2165 5
2165 2208 4
2208 2397 3
2397 300000 2
1 49 50
2 29 29
3 72 73
4 56 56
5 60 76
6 28 94
7 82 99
8 68 166
9 55 56
10 27 194
11 3 79
12 82 249
13 67 253
14 18 127
15 76 206
16 46 140
17 95 110
18 79 95
19 66 158
20 87 330
21 66 136
22 71 173
23 72 422
24 48 485
25 32 152
26 69 174
27 24 76
28 46 597
29 24 514
30 61 669
31 86 677
32 79 119
33 79 275
34 45 162
35 38 100
36 26 315
37 11 403
38 38 54
39 12 426
40 53 331
41 15 1000
42 34 631
43 99 749
44 5 234
45 77 419
46 60 635
47 97 770
48 54 998
49 100 743
50 46 774
51 67 688
52 8 274
53 4 365
54 95 334
55 74 851
56 72 860
57 79 263
58 59 334
59 65 1270
60 58 970
