NOP: 60
NINT: 19
0 254 1
254 372 2
372 530 3
530 691 4
691 922 5
922 1168 6
1168 1285 7
1285 1471 8
1471 1679 9
1679 1948 10
1948 1963 9
1963 2179 8
2179 2424 7
2424 2642 6
2642 2702 5
2702 2962 4
2962 3141 3
3141 3322 2
3322 300000 1
1 88 89
2 76 77
3 20 67
4 10 86
5 49 51
6 84 114
7 45 94
8 46 137
9 14 162
10 56 177
11 32 210
12 37 93
13 23 197
14 35 205
15 34 300
16 76 160
17 39 183
18 57 224
19 71 139
20 60 268
21 74 224
22 58 83
23 62 95
24 65 127
25 21 458
26 18 166
27 100 495
28 52 637
29 16 281
30 10 40
31 82 595
32 13 222
33 39 210
34 43 744
35 19 627
36 45 389
37 24 232
38 92 705
39 12 64
40 35 391
41 84 895
42 50 913
43 78 601
44 10 957
45 79 765
46 89 240
47 56 485
48 9 311
49 94 340
50 48 544
51 56 141
52 10 461
53 26 578
54 70 745
55 65 68
56 51 1030
57 18 570
58 20 76
59 6 912
60 35 1134
