NOP: 60
NINT: 19
0 54 1
54 322 2
322 329 3
329 483 4
483 557 5
557 745 6
745 860 7
860 1097 8
1097 1320 9
1320 1604 10
1604 1839 9
1839 1941 8
1941 2175 7
2175 2298 6
2298 2339 5
2339 2499 4
2499 2607 3
2607 2814 2
2814 300000 1
1 36 37
2 42 42
3 87 87
4 2 52
5 100 101
6 59 114
7 45 81
8 98 158
9 41 155
10 28 208
11 65 196
12 30 276
13 65 227
14 4 55
15 10 133
16 59 244
17 34 68
18 56 345
19 34 276
20 58 116
21 25 221
22 30 466
23 72 310
24 71 100
25 72 561
26 41 341
27 48 442
28 87 100
29 18 662
30 68 280
31 58 462
32 44 691
33 68 100
34 12 340
35 92 734
36 75 852
37 23 373
38 62 371
39 10 828
40 76 672
41 31 527
42 89 394
43 74 208
44 13 499
45 50 506
46 24 766
47 56 606
48 45 1040
49 60 597
50 31 777
51 50 111
52 98 128
53 28 937
54 30 1129
55 21 1216
56 12 602
57 88 1284
58 25 122
59 48 1115
60 30 66
