NOP: 60
NINT: 18
0 110 1
110 117 2
117 349 3
349 386 4
386 493 5
493 527 6
527 554 7
554 741 8
741 784 9
784 986 10
986 1028 9
1028 1114 8
1114 1269 7
1269 1347 6
1347 1415 5
1415 1428 4
1428 1635 3
1635 300000 2
1 23 23
2 48 48
3 10 15
4 84 84
5 48 71
6 13 52
7 17 91
8 67 97
9 48 51
10 77 149
11 4 86
12 43 63
13 52 182
14 54 210
15 9 200
16 50 71
17 9 91
18 97 104
19 19 118
20 91 167
21 7 327
22 8 347
23 60 78
24 80 153
25 17 260
26 59 231
27 19 465
28 73 98
29 70 473
30 14 368
31 91 124
32 40 401
33 80 419
34 79 650
35 26 154
36 30 201
37 89 361
38 89 760
39 63 250
40 51 398
41 3 624
42 22 594
43 16 82
44 44 792
45 82 245
46 97 885
47 38 1065
48 54 731
49 60 175
50 99 147
51 55 331
52 61 67
53 31 934
54 38 113
55 10 1176
56 64 1116
57 16 1092
58 65 120
59 42 312
60 86 760
