NOP: 60
NINT: 18
0 18 2
18 60 3
60 237 4
237 377 5
377 618 6
618 787 7
787 1014 8
1014 1059 9
1059 1342 10
1342 1383 9
1383 1480 8
1480 1586 7
1586 1598 6
1598 1792 5
1792 1905 4
1905 1932 3
1932 2199 2
2199 300000 1
1 85 85
2 26 35
3 85 85
4 68 95
5 68 85
6 1 17
7 75 143
8 56 106
9 73 220
10 76 125
11 2 226
12 54 145
13 70 316
14 54 224
15 55 315
16 26 300
17 4 58
18 35 59
19 77 358
20 99 449
21 57 320
22 31 362
23 41 485
24 26 82
25 7 292
26 24 173
27 36 58
28 42 222
29 15 486
30 70 76
31 96 183
32 10 355
33 66 726
34 13 300
35 51 600
36 65 328
37 39 588
38 73 602
39 40 156
40 92 777
41 69 162
42 16 570
43 81 125
44 13 507
45 74 510
46 91 988
47 36 521
48 25 159
49 56 445
50 52 752
51 58 979
52 80 499
53 81 1198
54 86 1014
55 88 634
56 23 334
57 45 1022
58 38 152
59 14 1178
60 14 994
