NOP: 45
NINT: 14
0 257 2
257 321 3
321 450 4
450 489 5
489 639 6
639 769 7
769 817 8
817 1009 7
1009 1017 6
1017 1063 5
1063 1159 4
1159 1170 3
1170 1278 2
1278 300000 1
1 72 73
2 41 42
3 30 53
4 27 46
5 78 81
6 64 120
7 93 133
8 29 165
9 90 152
10 98 121
11 57 304
12 59 261
13 26 326
14 74 366
15 21 226
16 25 102
17 16 57
18 61 256
19 6 136
20 77 466
21 55 210
22 17 82
23 41 396
24 95 465
25 27 547
26 64 289
27 1 28
28 64 327
29 75 619
30 4 395
31 58 411
32 91 477
33 70 638
34 20 244
35 67 388
36 4 223
37 32 358
38 28 175
39 78 245
40 54 387
41 34 519
42 77 844
43 83 463
44 54 920
45 89 915
