NOP: 45
NINT: 15
0 28 1
28 269 2
269 280 3
280 343 4
343 514 5
514 723 6
723 854 7
854 1024 8
1024 1221 7
1221 1307 6
1307 1578 5
1578 1590 4
1590 1808 3
1808 2002 2
2002 300000 1
1 55 55
2 19 26
3 59 60
4 66 67
5 40 78
6 60 79
7 56 87
8 21 61
9 6 86
10 15 122
11 42 140
12 77 161
13 25 245
14 65 116
15 21 285
16 14 56
17 66 258
18 42 312
19 46 145
20 74 217
21 31 182
22 76 252
23 19 141
24 79 98
25 58 470
26 66 117
27 8 454
28 17 160
29 74 288
30 63 541
31 54 71
32 54 371
33 23 523
34 78 595
35 82 456
36 22 704
37 39 420
38 96 408
39 78 729
40 29 47
41 27 847
42 57 848
43 40 144
44 91 411
45 47 166
