NOP: 60
NINT: 18
0 146 2
146 303 3
303 604 4
604 655 5
655 776 6
776 878 7
878 1175 8
1175 1340 9
1340 1600 10
1600 1781 9
1781 1784 8
1784 1968 7
1968 2191 6
2191 2357 5
2357 2544 4
2544 2774 3
2774 2880 2
2880 300000 1
1 21 22
2 10 11
3 20 20
4 22 22
5 24 34
6 60 60
7 53 55
8 73 92
9 62 68
10 80 80
11 83 145
12 87 137
13 31 183
14 60 170
15 69 300
16 74 226
17 56 154
18 21 185
19 7 210
20 97 293
21 4 67
22 42 260
23 83 110
24 50 92
25 61 216
26 66 234
27 38 577
28 87 654
29 92 522
30 75 662
31 13 180
32 36 548
33 4 233
34 89 111
35 29 222
36 13 51
37 9 478
38 16 629
39 86 843
40 100 584
41 7 965
42 59 915
43 49 649
44 85 519
45 8 303
46 100 211
47 67 865
48 31 695
49 89 770
50 20 139
51 2 495
52 29 243
53 71 321
54 50 1075
55 44 1245
56 83 132
57 38 278
58 67 176
59 14 626
60 96 400
